caseid,untrustworthy_flag,untrustworthy_n,republican,democrat,political_interest,ideology_bin,college,female,non_white,birthyr,weight,age,age_18_29,age_30_44,age_45_64,age_65_plus
304925514,0,0,1,0,4,NA,0,0,0,1955,0.74131818980059,61,0,0,1,0
304925518,1,14,0,1,3,7,1,0,0,1980,1.35069677386199,36,0,1,0,0
304925521,0,0,0,1,4,6,0,0,0,1990,0.635699927206072,26,1,0,0,0
305032943,0,0,0,1,4,5,0,1,0,1955,0.579183441386554,61,0,0,1,0
305032944,0,0,0,1,4,1,1,1,0,1957,0.148281224208277,59,0,0,1,0
305032945,1,5,0,1,4,1,1,1,0,1954,0.222005567744852,62,0,0,1,0
305032950,1,1,0,1,4,1,1,1,0,1950,0.300849418889898,66,0,0,0,1
305032952,1,40,0,0,4,3,1,0,0,1944,3.07660011574962,72,0,0,0,1
305032953,0,0,0,1,4,4,0,1,1,1948,0.424345071798106,68,0,0,0,1
305032954,0,0,1,0,4,5,1,0,0,1953,0.273419596713742,63,0,0,1,0
305032955,0,0,0,1,4,3,0,0,0,1960,0.220441846779659,56,0,0,1,0
305032956,1,9,0,1,4,1,1,1,0,1959,0.480673776461849,57,0,0,1,0
305032957,1,22,1,0,4,9,0,0,0,1963,2.27955653285726,53,0,0,1,0
305032959,0,0,0,1,4,2,1,0,1,1943,0.179870024895098,73,0,0,0,1
305032960,0,0,1,0,4,8,0,0,0,1937,0.324430376075113,79,0,0,0,1
305032962,1,183,1,0,4,10,1,1,0,1957,0.148281224208277,59,0,0,1,0
305032963,1,58,0,1,4,2,1,1,0,1936,0.200178428274,80,0,0,0,1
305032966,1,180,1,0,4,9,0,0,0,1941,0.324430376075113,75,0,0,0,1
305032967,0,0,0,1,4,1,1,1,0,1960,0.142097841176297,56,0,0,1,0
305032968,0,0,0,1,4,NA,1,0,0,1950,0.172313764706301,66,0,0,0,1
305032971,0,0,0,1,4,1,1,0,0,1949,0.190925235649378,67,0,0,0,1
305032972,1,4,0,1,4,1,1,1,1,1945,0.242560613389434,71,0,0,0,1
305032974,1,15,1,0,3,8,0,1,0,1958,0.220662274048938,58,0,0,1,0
305032977,0,0,0,1,4,2,1,0,0,1925,0.190925235649378,91,0,0,0,1
305032978,1,82,0,0,4,5,1,1,0,1942,0.180664952286497,74,0,0,0,1
305032979,1,6,0,1,4,3,0,1,0,1937,0.183871667690523,79,0,0,0,1
