consent,encountered_fakenews1,fakenews_pctg1,certainty_nofakenews1,respondent_stories_1,respondent_stories_2,respondent_stories_3,respondent_stories_4,respondent_stories_5,respondent_stories_6,respondent_stories_7,respondent_stories_8,respondent_stories_9,respondent_stories_10,detecting_fakenews1,fakenews_trend1,socmed_use,tf_adv,tf_pdf,tf_spy,tf_wiki,tf_cache,tf_phishing,tie_senate,filibuster,presidential_terms,electoral_college,presvote2020,gender4,gender4_other,birthyr,age,age4,race,race_other,hispanic,hispanic_origin_1,hispanic_origin_2,hispanic_origin_3,hispanic_origin_4,race4,educ,educ4,inputstate,region,newsint,sourcenews_new,votereg,turnout16,presvote16post,presvote16post_t,pid3,pid3_other,pid7,ideo5,intuse,conf02,conf05,conf07,conf08,conf10,conf11,conf12,starttime,endtime,weight,caseid,encountered_fakenews1_post,fakenews_pctg1_post,certainty_nofakenews1_post,respondent_stories_1_post,respondent_stories_2_post,respondent_stories_3_post,respondent_stories_4_post,respondent_stories_5_post,respondent_stories_6_post,respondent_stories_7_post,respondent_stories_8_post,respondent_stories_9_post,respondent_stories_10_post,detecting_fakenews1_post,fakenews_trend1_post,socmed_use_post,presvote20post,presvote20post_t,election_behaviors_1,election_behaviors_2,election_behaviors_3,election_behaviors_4,election_behaviors_5,election_behaviors_6,election_behaviors_7,election_behaviors_8,election_behaviors_9,election_behaviors_10,election_behaviors_11,election_behaviors_12,election_behaviors_13,election_behaviors_14,election_behaviors_15,election_behaviors_16,election_behaviors_17,election_behaviors_oth,won_election,covid_positive,covid_month,covid_date,self_isolation,starttime_post,endtime_post,weight_post,presvote20combined,race4_black,race4_hispanic,race4_other,race4_white,gender4_female,gender4_male,gender4_other_2,gender4_prefer_not_to_say,ideo5_conservative,ideo5_liberal,ideo5_moderate,ideo5_not_sure,ideo5_very_conservative,ideo5_very_liberal,age4_30_44,age4_45_64,age4_65,age4_under_30,educ_factor,education,college,trump_support,female,non_white,knowledge,political_interest,untrustworthy_n,total_n,untrustworthy_flag,percentage_of_total,untrustworthy_ng_n,untrustworthy_ng_flag,percentage_of_total_ng,grinberg_n,grinberg_flag,grinberg_percentage_of_total,untrustworthy_conservative_n,untrustworthy_liberal_n,untrustworthy_conservative_flag,untrustworthy_liberal_flag,hard_news_n,hard_news_flag,hard_news_bin,hard_news_conservative_n,hard_news_liberal_n,hard_news_conservative_flag,hard_news_liberal_flag,fact_check_n,fact_check_flag,mean_ideology,ideology_bin,hard_news_bin_all,total_n_bin_all,untrustworthy_conservative_percentage_info_diet,untrustworthy_liberal_percentage_info_diet,untrustworthy_all_percentage_info_diet,biden_support,age_18_29,age_30_44,age_45_64,age_65_plus,democrat,republican,ai_untrustworthy_flag,ai_untrustworthy_n,untrustworthy_flag_pre,untrustworthy_flag_post,untrustworthy_n_pre,untrustworthy_n_post
I consent,A great deal,96,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,10–30 minutes per day,1  None,1  None,2  Little,1  None,2  Little,3  Some,The president,51,Article II of the U.S. Constitution,Is an assembly that formally elects the president,Donald Trump,Female,__NA__,1964,56,45-64,White,__NA__,No,NA,NA,NA,NA,White,High school graduate,HS or less,Missouri,Midwest,Most of the time,Television,Yes,Yes,Donald Trump,__NA__,Independent,__NA__,Lean Republican,Very conservative,Several times a day,A great deal,A great deal,Quite a lot,Very little,Very little,Some,Some,2020-09-18T22:27:00Z,2020-09-18T22:39:31Z,0.717401372221442,1221342393,Nearly all news I see is fake,94,NA,selected,selected,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,10–30 minutes per day,Donald Trump,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,none,Donald Trump,Yes,October,2020-10-20,"Some of the time. I have reduced the amount of times I am in public spaces, social gatherings, or at work.",2020-12-04T18:51:09Z,2020-12-04T18:58:37Z,1.7017,Donald Trump,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,4,0,10243,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,0,0,0,-0.1214,5,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
I consent,A fair amount,19,NA,selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is somewhat more fake news today,1–2 hours per day,5  Full,5  Full,5  Full,5  Full,5  Full,5  Full,The vice president,67,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Joe Biden,Male,__NA__,1955,65,65+,White,__NA__,No,NA,NA,NA,NA,White,2-year,Some college,Indiana,Midwest,Most of the time,Television,Yes,Yes,Hillary Clinton,__NA__,Democrat,__NA__,Strong Democrat,Liberal,Several times a day,Some,Quite a lot,Quite a lot,Quite a lot,Quite a lot,Some,Quite a lot,2020-09-18T22:42:10Z,2020-09-18T22:59:59Z,0.376286313070419,1221180599,Not very much,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is about the same amount of fake news today,1–2 hours per day,Joe Biden,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,selected,not selected,selected,selected,not selected,selected,selected,not selected,__NA__,Joe Biden,No,NA,NA,Most of the time.  I only leave my home to buy food and other essentials.,2020-12-03T00:41:00Z,2020-12-03T00:53:46Z,0.2715,Joe Biden,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0,3,4,0,8776,0,0,0,0,0,0,0,0,0,0,0,0,379,1,3,0,32,0,1,4,1,-0.4115494897959184,1,3,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
I consent,Not very much,20,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Rarely able,There is about the same amount of fake news today,Less than 10 minutes per day,2  Little,3  Some,2  Little,2  Little,3  Some,2  Little,The vice president,67,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Joe Biden,Female,__NA__,1956,64,45-64,White,__NA__,No,NA,NA,NA,NA,White,High school graduate,HS or less,Wisconsin,Midwest,Only now and then,Television,Yes,Yes,Hillary Clinton,__NA__,Democrat,__NA__,Not very strong Democrat,Moderate,Several times a day,Some,Quite a lot,None at all,Very little,Some,Some,Some,2020-09-18T22:52:29Z,2020-09-18T23:01:08Z,3.58419024251824,1221425553,A fair amount,29,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is somewhat more fake news today,Less than 10 minutes per day,Joe Biden,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,none,Joe Biden,No,NA,NA,"Some of the time. I have reduced the amount of times I am in public spaces, social gatherings, or at work.",2020-12-04T20:32:09Z,2020-12-04T20:43:40Z,0.9867,Joe Biden,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,3,2,0,22569,0,0,0,0,0,0,0,0,0,0,0,0,1522,1,3,0,0,0,0,0,0,-0.08284798761609907,7,3,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
I consent,A fair amount,50,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is about the same amount of fake news today,1–2 hours per day,3  Some,3  Some,3  Some,3  Some,3  Some,3  Some,The president,70,There is no limit to the number of terms a president can serve,Trains those who run for political office,Donald Trump,Female,__NA__,1971,49,45-64,Asian,__NA__,No,NA,NA,NA,NA,Other,4-year,College grad,California,West,Some of the time,Social network websites,Yes,Yes,Donald Trump,__NA__,Independent,__NA__,Independent,Moderate,About once a day,Some,Some,Some,Some,Some,Some,Some,2020-09-18T23:27:59Z,2020-09-18T23:34:03Z,1.01802933941028,1221135087,A great deal,80,NA,selected,selected,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is somewhat more fake news today,2–3 hours per day,Donald Trump,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,none,I'm still not sure,No,NA,NA,Most of the time.  I only leave my home to buy food and other essentials.,2020-12-02T16:42:44Z,2020-12-02T16:59:56Z,0.7919,Donald Trump,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,3,1,1,1,1,0,3,0,2618,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,0,0,-0.084,6,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I consent,A great deal,51,NA,selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is somewhat more fake news today,10–30 minutes per day,5  Full,5  Full,4  Good,3  Some,3  Some,4  Good,The vice president,60,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Donald Trump,Female,__NA__,1961,59,45-64,White,__NA__,No,NA,NA,NA,NA,White,4-year,College grad,Illinois,Midwest,Most of the time,A news website not associated with a newspaper,Yes,Yes,Donald Trump,__NA__,Republican,__NA__,Strong Republican,Conservative,Several times a day,Quite a lot,Quite a lot,A great deal,Quite a lot,Very little,Some,Very little,2020-09-18T23:19:13Z,2020-09-18T23:36:47Z,0.388802994482753,1220542523,A fair amount,70,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is much more fake news today,Less than 10 minutes per day,Donald Trump,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,not selected,not selected,__NA__,Donald Trump,No,NA,NA,"Some of the time. I have reduced the amount of times I am in public spaces, social gatherings, or at work.",2020-12-05T00:31:30Z,2020-12-05T00:43:25Z,1.0359,Donald Trump,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3,3,1,1,1,0,4,4,0,4871,0,0,0,0,0,0,0,0,0,0,0,0,188,1,2,0,0,0,0,0,0,-0.04184897959183673,7,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
I consent,I have not encountered any fake news,1,NA,selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never able,There is about the same amount of fake news today,31–60 minutes per day,1  None,1  None,1  None,1  None,1  None,1  None,The Senate majority leader,67,Article II of the U.S. Constitution,Is an assembly that formally elects the president,Another candidate,Female,__NA__,1977,43,30-44,White,__NA__,No,NA,NA,NA,NA,White,Some college,Some college,Michigan,Midwest,Only now and then,Talking to other (informed) people,Yes,No,Did not vote for President,__NA__,Independent,__NA__,Independent,Moderate,Several times a day,A great deal,A great deal,Some,Quite a lot,Quite a lot,Very little,Quite a lot,2020-09-18T23:34:17Z,2020-09-18T23:39:23Z,0.516053832625614,1219664999,I have not encountered any fake news,8,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Rarely able,There is about the same amount of fake news today,Less than 10 minutes per day,Did not vote for President,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,Nothing,I'm still not sure,No,NA,NA,All of the time. I am staying at home nearly all the time.,2020-12-06T19:02:19Z,2020-12-06T19:06:39Z,2.3043,Did not vote for President,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,1,0,1,2,0,5213,0,0,0,0,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,0,0,-0.28264,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I consent,A fair amount,15,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is much more fake news today,10–30 minutes per day,3  Some,5  Full,5  Full,5  Full,5  Full,5  Full,The vice president,60,Article II of the U.S. Constitution,Is an assembly that formally elects the president,Joe Biden,Female,__NA__,1953,67,65+,Black,__NA__,No,NA,NA,NA,NA,Black,2-year,Some college,Texas,South,Most of the time,Television,Yes,Yes,Hillary Clinton,__NA__,Democrat,__NA__,Strong Democrat,Liberal,Several times a day,Some,A great deal,None at all,Very little,Quite a lot,Some,Quite a lot,2020-09-18T23:28:33Z,2020-09-18T23:44:01Z,0.629673231870103,1220933007,A great deal,26,NA,selected,selected,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is much more fake news today,10–30 minutes per day,Joe Biden,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,selected,not selected,not selected,not selected,not selected,__NA__,Joe Biden,Yes,March,2020-03-23,All of the time. I am staying at home nearly all the time.,2020-12-02T20:55:37Z,2020-12-02T21:08:55Z,0.3588,Joe Biden,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2,0,0,1,1,3,4,0,1372,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,0,0,0,0,0,-0.41455,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
I consent,A fair amount,25,NA,selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,10–30 minutes per day,3  Some,4  Good,4  Good,4  Good,4  Good,4  Good,The vice president,67,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Joe Biden,Male,__NA__,1969,51,45-64,Other,__NA__,No,NA,NA,NA,NA,Other,4-year,College grad,New York,Northeast,Most of the time,A news website not associated with a newspaper,Yes,No,Did not vote for President,__NA__,Democrat,__NA__,Not very strong Democrat,Liberal,Several times a day,Very little,Very little,None at all,Some,Quite a lot,Some,Quite a lot,2020-09-18T22:52:13Z,2020-09-18T23:45:50Z,0.102586250700567,1219714043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joe Biden,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,3,1,0,0,1,3,4,0,11144,0,0,0,0,0,0,0,0,0,0,0,0,149,1,2,0,0,0,0,0,0,-0.11763125,5,2,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
I consent,Not very much,14,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Always able,There is much more fake news today,More than 3 hours per day,5  Full,5  Full,5  Full,5  Full,5  Full,5  Full,The vice president,67,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Donald Trump,Female,__NA__,1971,49,45-64,White,__NA__,No,NA,NA,NA,NA,White,Some college,Some college,Pennsylvania,Northeast,Most of the time,A news website not associated with a newspaper,Yes,Yes,Donald Trump,__NA__,Republican,__NA__,Strong Republican,Conservative,Several times a day,A great deal,Quite a lot,A great deal,Very little,Very little,Some,Some,2020-09-18T23:28:08Z,2020-09-18T23:50:19Z,0.453484366088073,1221341823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Donald Trump,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,1,1,0,3,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
I consent,A fair amount,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sometimes able,There is much more fake news today,10–30 minutes per day,5  Full,2  Little,4  Good,3  Some,4  Good,4  Good,The vice president,51,The 22nd Amendment of the Constitution,Is an assembly that formally elects the president,Joe Biden,Female,__NA__,1957,63,45-64,White,__NA__,No,NA,NA,NA,NA,White,4-year,College grad,Michigan,Midwest,Hardly at all,A printed copy of a newspaper,Yes,Yes,Hillary Clinton,__NA__,Democrat,__NA__,Strong Democrat,Liberal,About once a day,A great deal,Quite a lot,Some,Some,Very little,None at all,Some,2020-09-18T23:39:09Z,2020-09-18T23:54:41Z,1.63361317676752,1220988095,A fair amount,10,NA,selected,selected,selected,NA,NA,NA,NA,NA,NA,NA,Most of the time able,There is much more fake news today,1–2 hours per day,Joe Biden,__NA__,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,not selected,selected,none,Joe Biden,Yes,November,2020-11-21,None of the time. I am doing everything I normally do.,2020-12-03T00:47:58Z,2020-12-03T00:55:18Z,0.5016,Joe Biden,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,3,1,0,1,0,3,1,1,2134,1,4.6860356138706655e-4,0,0,0,1,1,4.6860356138706655e-4,1,0,1,0,20,1,1,0,0,0,0,0,0,-0.3146,2,1,2,0.05,0,0.05,1,0,0,1,0,1,0,0,0,1,0,1,0
