caseid,vote_intention_w1,vote_2020,news_interest,education,gender,race,hispanic,birthyr,party_id,ideology,voter_reg,weight,ai_skill_distinguish_devices,ai_skill_identify_tech,ai_skill_use_for_work,ai_skill_improve_efficiency,ai_skill_choose_solution,ai_skill_choose_app,ai_attitude_effective,ai_attitude_useful,ai_attitude_informative,ai_attitude_interesting,ai_attitude_important,ai_attitude_meaningful,ai_attitude_powerful,gpt4_knowledge,llm_knowledge,image_gen_knowledge,speech_rec_knowledge,ai_usage_freq,ai_detect_self,ai_detect_others,misinfo_percent,false_news_self,false_news_others,false_news_democrats,false_news_republicans,verification_major_outlets,verification_friends_family,verification_search_engine,verification_social_media,verification_other_sources,verification_fact_check,digital_term_adv_search,digital_term_pdf,digital_term_spyware,digital_term_wiki,digital_term_cache,digital_term_phishing,vote_intention_w2,age,age_18_29,age_30_44,age_45_64,age_65_plus,democrat,republican,trump_supporter,harris_supporter,political_interest,college,female,non_white,ideo5_very_liberal,ideo5_liberal,ideo5_moderate,ideo5_conservative,ideo5_very_conservative,ideo5_not_sure,registered_voter,gpt4_correct,llm_correct,image_gen_correct,speech_rec_correct,ai_knowledge_score,digital_term_knowledge_score,misinfo_third_person_gap,ai_detection_gap,misinfo_belief_score,ai_attitude_score,verification_outlets_regular,verification_friends_regular,verification_search_regular,verification_social_regular,verification_other_regular,verification_factcheck_regular,verification_behavior_score,ai_skill_score,ai_usage,ai_detection_self,ai_detection_others,misinfo_prevalence,false_news_gap,total_visits,untrustworthy_n_old,untrustworthy_flag_old,untrustworthy_n,untrustworthy_flag,ai_untrustworthy_n_old,ai_untrustworthy_flag_old,ai_untrustworthy_n,ai_untrustworthy_flag,hard_news_n,hard_news_flag,avg_ideology,facebook_n,twitter_n,youtube_n,google_n,fact_check_n,total_duration,untrustworthy_duration,ai_untrustworthy_duration,facebook_duration,twitter_duration,youtube_duration,google_duration,hard_news_duration,fact_check_duration,percentage_visits_untrustworthy,percentage_visits_ai_untrustworthy,percentage_time_untrustworthy,percentage_time_ai_untrustworthy,percentage_time_facebook,percentage_time_twitter,percentage_time_youtube,percentage_time_google,percentage_time_hard_news,percentage_time_fact_check,facebook_bin,twitter_bin,google_bin,hard_news_bin,total_visits_bin,facebook_flag,twitter_flag,youtube_flag,google_flag,fact_check_flag,fact_check_bin,ideology_bin,total_visits_7day,untrustworthy_n_7day,untrustworthy_flag_7day,ai_untrustworthy_n_7day,ai_untrustworthy_flag_7day,percentage_visits_untrustworthy_7day,percentage_visits_ai_untrustworthy_7day,total_accuracy,ai_accuracy,real_accuracy,dem_accuracy,rep_accuracy,discernment_score,untrustworthy_flag_pre,untrustworthy_flag_post,untrustworthy_n_pre,untrustworthy_n_post
1880735520,2,1,2,2,1,1,2,1986,4,3,1,0.500641525531067,7,7,3,2,1,4,4,5,5,4,5,5,6,1,1,3,3,2,1,1,10,3,4,5,5,4,2,3,2,2,3,5,5,5,5,4,5,1,38,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,1,1,1,0,3,4.833333333333333,1,0,5.666666666666667,4.857142857142857,1,0,0,0,0,0,1,4,2,1,1,10,1,3004,0,0,0,0,0,0,0,0,408,1,-0.2601925675675676,441,6,99,380,0,28396,0,0,4069,7,1095,2982,2777,0,0,0,0,0,0.14329483025778278,2.465135934638681e-4,0.038561769263276514,0.10501479081560783,0.09779546414988026,0,3,3,3,3,2,1,1,1,1,0,1,3,338,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0
1880736482,1,6,4,1,2,1,2,1963,4,3,2,0.808368439632779,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,3,3,1,1,1,0,0,0,0,0,1,3,2,3,1,1,1,1,1,1,1,1,9,61,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,4148,0,0,0,0,0,0,2,1,111,1,-0.20684615384615382,6,1,47,86,0,161105,0,0,424,32,731,1603,14,0,0,4.8216007714561236e-4,0,0,0.0026318239657366314,1.9862822382917973e-4,0.004537413488097824,0.009950032587442972,8.689984792526613e-5,0,2,2,2,2,2,1,1,1,1,0,1,4,505,0,0,2,1,0,0.0039603960396039604,0.75,0.5,1,1,0.5,0.5,0,0,0,0
1880733884,1,2,1,5,1,1,2,1952,7,4,1,1.13912042845731,7,7,5,5,5,4,4,4,4,4,4,4,4,1,1,2,3,3,4,2,60,10,10,10,10,5,2,4,2,5,4,5,5,5,5,5,5,2,72,0,0,0,1,0,1,1,0,4,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2,5,0,2,26.666666666666668,4,1,0,1,0,1,1,4,5.5,3,4,2,60,0,400,0,0,0,0,0,0,0,0,14,1,0.25708571428571425,29,0,1,145,0,10924,0,0,572,0,2,2984,555,0,0,0,0,0,0.05236177224459905,0,1.830831197363603e-4,0.2731600146466496,0.05080556572683999,0,2,1,2,1,1,1,0,1,1,0,1,10,134,0,0,0,0,0,0,0.75,1,0.5,1,0.5,-0.5,0,0,0,0
1880736258,2,1,2,4,2,2,2,1986,1,2,1,1.36272918227758,5,4,4,4,5,4,4,4,4,4,4,4,3,1,4,4,3,3,4,2,60,3,10,2,30,4,3,4,4,3,4,4,3,4,4,4,3,1,38,0,1,0,0,1,0,0,1,3,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,3.6666666666666665,7,2,24.333333333333332,3.857142857142857,1,0,1,1,0,1,4,4.333333333333333,3,4,2,60,7,12631,0,0,0,0,0,0,0,0,291,1,-0.2114543147208122,492,113,13,1323,0,532632,0,0,23282,3962,572,79222,7832,0,0,0,0,0,0.04371123026780216,0.007438531669144925,0.0010739121945358145,0.14873683894321033,0.01470433620210577,0,3,3,3,3,3,1,1,1,1,0,1,4,2406,0,0,0,0,0,0,0.75,1,0.5,1,0.5,-0.5,0,0,0,0
1880736580,1,2,2,1,2,1,2,1975,7,5,1,1.46509464907496,7,7,7,7,7,7,7,7,7,7,7,7,7,5,3,4,2,5,3,4,46,50,50,0,50,4,5,5,5,5,5,3,3,3,5,3,3,2,49,0,0,1,0,0,1,1,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,3.3333333333333335,0,-1,48.666666666666664,7,1,1,1,1,1,1,6,7,5,3,4,46,0,3126,0,0,0,0,0,0,0,0,12,1,-0.3061,22,12,8,488,0,86362,0,0,676,108,662,18925,62,0,0,0,0,0,0.007827516731895972,0.00125055001042125,0.007665408397211737,0.21913573099279776,7.179083393159028e-4,0,2,3,3,1,2,1,1,1,1,0,1,2,565,0,0,0,0,0,0,0.75,1,0.5,0.5,1,-0.5,0,0,0,0
1880736434,2,1,2,3,2,1,2,1970,3,3,1,0.714730961938766,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,4,2,3,4,3,0,0,5,3,10,5,5,5,5,5,5,5,5,5,5,5,5,1,54,0,0,1,0,1,0,0,1,3,0,1,0,0,0,1,0,0,0,1,1,1,0,1,3,5,5,1,1.6666666666666667,7,1,1,1,1,1,1,6,7,3,4,3,0,5,7230,0,0,0,0,0,0,0,0,11,1,-0.2986857142857143,138,0,57,1155,0,373018,0,0,3132,0,3602,87816,394,0,0,0,0,0,0.008396377654697628,0,0.009656370470057745,0.23542027462481704,0.0010562492962806085,0,3,1,3,1,3,1,0,1,1,0,1,2,1296,0,0,0,0,0,0,0.75,1,0.5,1,0.5,-0.5,0,0,0,0
1880736294,2,6,7,3,2,2,2,1975,4,6,1,0.645944536726945,7,1,1,1,1,1,4,1,1,1,1,1,1,5,3,3,4,5,1,1,25,0,20,0,0,1,1,1,1,1,1,5,5,5,3,5,5,NA,49,0,0,1,0,0,0,0,1,NA,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,4.666666666666667,20,0,15,1.4285714285714286,0,0,0,0,0,0,0,2,5,1,1,25,20,2349,0,0,0,0,0,0,0,0,23,1,-0.24726363636363635,4,6,2,271,0,47078,0,0,88,38,3,3767,72,0,0,0,0,0,0.0018692382853987,8.071710777858023e-4,6.372403245677387e-5,0.08001614342155572,0.0015293767789625727,0,2,3,3,2,2,1,1,1,1,0,1,3,711,0,0,0,0,0,0,0.75,1,0.5,0.5,1,-0.5,0,0,0,0
1880736170,2,1,2,5,1,1,2,1977,2,2,1,0.805994370740984,5,5,4,6,5,6,6,6,5,6,6,5,6,1,1,3,2,2,2,2,25,2,2,4,5,3,4,3,3,4,3,3,2,1,3,2,3,NA,47,0,0,1,0,1,0,0,1,3,1,0,0,0,1,0,0,0,0,1,1,1,1,1,4,2.3333333333333335,0,0,9.666666666666666,5.714285714285714,0,1,0,0,1,0,2,5.166666666666667,2,2,2,25,0,217,0,0,0,0,0,0,0,0,1,1,NA,1,0,0,24,0,8725,0,0,7,0,0,1384,0,0,0,0,0,0,8.022922636103152e-4,0,0,0.1586246418338109,0,0,2,1,2,1,1,1,0,0,1,0,1,NA,40,0,0,0,0,0,0,0.75,1,0.5,0.5,1,-0.5,0,0,0,0
1880736124,1,2,1,3,1,1,2,1972,5,4,1,1.03361449735736,7,4,2,2,4,4,4,4,4,5,5,4,4,5,3,2,2,1,2,2,50,5,20,20,20,3,2,3,1,4,3,5,5,5,5,5,5,2,52,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,5,15,0,25,4.285714285714286,0,0,0,0,1,0,1,3.8333333333333335,1,2,2,50,15,1472,1,1,2,1,0,0,0,0,160,1,0.21355750000000004,0,30,2,101,0,40230,2,0,0,379,16,1606,2784,0,0.001358695652173913,0,4.971414367387522e-5,0,0,0.009420830226199354,3.9771314939100174e-4,0.0399204573701218,0.06920208799403431,0,1,3,2,3,2,0,1,1,1,0,1,10,301,0,0,0,0,0,0,0.5,0.5,0.5,0,1,0,1,0,2,0
1880736622,2,1,1,6,2,2,2,1970,1,2,1,0.650551174127613,7,7,6,6,7,7,6,7,7,6,6,6,6,2,1,3,2,3,5,2,15,5,10,5,20,4,3,5,4,4,3,5,5,5,3,5,5,1,54,0,0,1,0,1,0,0,1,4,1,1,1,0,1,0,0,0,0,1,0,1,1,1,3,4.666666666666667,5,3,10,6.285714285714286,1,0,1,1,1,0,4,6.666666666666667,3,5,2,15,5,8237,0,0,0,0,0,0,0,0,345,1,-0.1888380281690141,0,2219,2249,308,0,715798,0,0,0,241878,264347,10403,2940,0,0,0,0,0,0,0.33791376896834024,0.36930390976225136,0.014533429822380057,0.004107304015937457,0,1,3,3,3,3,0,1,1,1,0,1,5,1806,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
